title,link,description,id
"Equity, Diversity and Inclusion (EDI) in the Workplace Resources",https://successportal.conestogac.on.ca/students/docs/detail/294?filename=Equity%2C-Diversity-and-Inclusion-in-the-Workplace-Resources.pdf,"This tip sheet offers key resources for researching employers, finding EDI-focused job postings, and understanding related legislation. Whether you're starting out or advancing your career, these tools will help you navigate EDI with insight and confidence.",52
Writing Services Virtual Drop-in Schedule Spring 2025,https://successportal.conestogac.on.ca/students/docs/detail/293?filename=Virtual-Writing-Services-Drop-in.pdf,Virtual drop-in schedule for Writing Services,53
SSA Drop-In,https://successportal.conestogac.on.ca/students/infoPages/detail/49/ssa-drop-in,Drop-in options,54
2025 Spring Semester Planner,https://successportal.conestogac.on.ca/students/docs/detail/289?filename=2025-Spring_Planner_DIGITAL.pdf,Use this planner to stay organized this semester.,55
Writing Services Drop-in Schedule Spring 2025,https://successportal.conestogac.on.ca/students/docs/detail/292?filename=Writing-Services-Drop-in.pdf,Writing Services In-Person Drop-In Hours,56
Repeating Courses,https://successportal.conestogac.on.ca/students/infoPages/detail/52/repeating-courses,definition of what it means for repeating courses,57
Learning Plan and Learning Contract,https://successportal.conestogac.on.ca/students/infoPages/detail/51/learning-plan-and-learning-con,definition of what a learning plan and learning contract are,58
Cover Letters,https://successportal.conestogac.on.ca/students/docs/detail/17?filename=Cover-Letters.pdf,"This resource explains the purpose and components of a cover letter, and provides a sample.",59
Medical Clinic Uninsured Services,https://successportal.conestogac.on.ca/students/infoPages/detail/50/medical-clinic-uninsured-servi,Uninsured services offered by the Conestoga College Medical Clinic.,60
The Job Offer,https://successportal.conestogac.on.ca/students/docs/detail/44?filename=The-Job-Offer.pdf,Negotiating a job offer can be stressful and intimidating. This resource provides some helpful tips for negotiating an offer of employment.,61
Social Media Checklist,https://successportal.conestogac.on.ca/students/docs/detail/291?filename=Social-Media-Checklist-.pdf,"As you prepare to enter the professional world, it's crucial to ensure your social media presence reflects your career goals. This checklist will guide you in transforming your online profiles into powerful tools to make a positive impression on potential employers and standing out in your field.",62
Job Searching with Social Media,https://successportal.conestogac.on.ca/students/docs/detail/290?filename=Job-Searching-with-Social-Media-.pdf,"In today's digital age, social media is a powerful tool for job searching. Beyond connecting with friends, platforms like LinkedIn help you network with potential employers. This tip sheet will guide you on leveraging social media to enhance your job search and present your best professional self.",63
Managing Your Time,https://successportal.conestogac.on.ca/students/infoPages/detail/29/managing-your-time,"Learn how to prioritize, approach procrastination, and plan your time.",64
Managing Stress,https://successportal.conestogac.on.ca/students/docs/detail/288?filename=Stress-Inforgraphic_FINAL_DIGITAL.pdf,"Learn how the stress cycle can impact you, and what you can do to overcome it.",65
Support for Discontinued Students,https://successportal.conestogac.on.ca/students/infoPages/detail/48/support-for-discontinued-stude,in-person and virtual drop-in support for discontinued students,66
Using Elevator Pitch in VMock,https://successportal.conestogac.on.ca/students/videos/detail/38/using-elevator-pitch-in-vmock,Learn how to use VMock to practice your interview skills or 30 second personal pitch.,67
Understanding VMock feedback,https://successportal.conestogac.on.ca/students/videos/detail/37/understanding-vmock-feedback,Learn how to upload a resume and understand the feedback that VMock gives you.,68
Volunteering: The Benefits and How to Find Opportunities,https://successportal.conestogac.on.ca/students/docs/detail/287?filename=Volunteering-Benefits-and-Opportunities.pdf,"Volunteering can significantly boost your future job prospects by helping you gain valuable experience, develop skills, build your resume, and establish a network of references. Curious to learn more? Check out this tip sheet to discover how volunteering can be a game-changer for your future!",69
What is a Social Insurance Number and Why You Need One,https://successportal.conestogac.on.ca/students/docs/detail/127?filename=Social-Insurance-Number.pdf,"This document provides information on Social Insurance Numbers (SIN), how to apply for your SIN, why you need a SIN to work in Canada, and how to protect it from being used by others.",70
Harm Reduction Approach to Substance Use,https://successportal.conestogac.on.ca/students/docs/detail/283?filename=Harm-Reduction-Infographic_DIGITAL.pdf,"Learn more information on this approach as well as resources, harm reduction strategies, and community contacts",71
Following Up After a Job Fair or Networking Event,https://successportal.conestogac.on.ca/students/docs/detail/285?filename=Job-Fair-and-Networking-Follow-Up.pdf,After you attend a job fair or a networking event it is important to follow up with key contacts you've made! This tip sheet will help you understand how to do this in a timely and professionally manner.,72
Co-Curricular Record,https://successportal.conestogac.on.ca/students/infoPages/detail/16/co-curricular-record,"The Co-Curricular Record (CCR) is an official document, complementary to an academic transcript, which recognizes and records your learning through approved co-curricular experiences at Conestoga College.",73
Student Success Resources and Services,https://successportal.conestogac.on.ca/students/docs/detail/284?filename=Conestoga-Student-Services_Students.pdf,An overview of the services Student Success offers.,74
Disability-Related Accommodation Process,https://successportal.conestogac.on.ca/students/faqs/detail/93/disability-related-accommodati,"The academic accommodation process is a collaborative effort between students and Accessible Learning. The goal is to reach agreement on appropriate accommodations, ensuring students have equitable access to their education. Faculty may be involved in this process as experts in academic requirements.While we do not share students’ health...",75
Conestoga Laptop and Technology Orientation,https://successportal.conestogac.on.ca/students/links/detail/91,"Whether starting with your first laptop or needing a refresher, you’ll find all the information in this tutorial. You’ll understand how to use your laptop and navigate Conestoga’s technologies when you're done.",76
Tech Help,https://successportal.conestogac.on.ca/students/links/detail/90,"Looking for answers to tech how-to questions? • Drop in a Zoom meeting with a TechBar representative • Hours: Monday to Friday, 10 am to 3 pm • Note: Drop-in service may sometimes be unavailable due to unplanned absences or technical issues.",77
TechFAQ,https://successportal.conestogac.on.ca/students/links/detail/89,"Search for answers to frequently asked questions, e.g., how the TechBar staff can help you, how can I book a meeting room, can I forward my Conestoga email to my personal email, etc.",78
Digital Skills Toolkit,https://successportal.conestogac.on.ca/students/links/detail/88,"Learn to use Zoom, Office 365, video production, and other computer skills",79
Before Your Assessment,https://successportal.conestogac.on.ca/students/infoPages/detail/42/before-your-assessment,Tips of what to do before writing in the Test Centre,80
After Your Assessment,https://successportal.conestogac.on.ca/students/infoPages/detail/44/after-your-assessment,What to expect after an assessment in the Test Centre,81
During Your Assessment,https://successportal.conestogac.on.ca/students/infoPages/detail/43/during-your-assessment,Considerations for during your assessment in the Test Centre,82
Student Rights & Responsibilities FAQs,https://successportal.conestogac.on.ca/students/faqs/detail/92/student-rights-and-responsibil,"Who do I contact if I have an emergency or safety concern?If you feel unsafe or need immediate attention on-campus, contact Safety and Security.If you are off campus, contact emergency services by calling 911.If you are in crisis and need urgent mental health support, the following resources can help: Suicide Crisis Helpline (all of Canada):...",83
Follow Up After An Interview,https://successportal.conestogac.on.ca/students/docs/detail/282?filename=Interview-Thank-You-Note.pdf,Following up after an interview with a thank you message to the interviewer(s) is super way to stand out; but is also an often forgotten step in the interview process. This tip sheet will help you understand the value of following up and how to do that professionally.,84
Discrimination & Harassment Prevention Policy,https://successportal.conestogac.on.ca/students/docs/detail/281?filename=discrimination-and-harassment-prevention-policy-FINAL-Jan-2025.pdf,"It is the policy of Conestoga College that all members of the College community have a right to a work and study environment that is safe and respectful, free from discrimination, hate and harassment.",85
Student Housing Policy,https://successportal.conestogac.on.ca/students/docs/detail/280?filename=Student-Housing-Policy-FINAL-January-2025.pdf,"The Conestoga College Institute of Technology and Advanced Learning (Conestoga) is committed to offering housing options and related services, supports, and resources that enhance the academic success and well-being of all students.",86
Student Mental Health Policy,https://successportal.conestogac.on.ca/students/docs/detail/279?filename=Student-Mental-Health-Policy-FINAL-January-2025.pdf,"Conestoga College Institute of Technology and Advanced Learning (Conestoga) is committed to cultivating a supportive teaching, learning, living and working environment that addresses the health and wellness needs of our students.",87
The Great Conestoga Cookbook,https://successportal.conestogac.on.ca/students/docs/detail/225?filename=Recipe-Book-DIGITAL_Jan-2025.pdf,Get cooking with these healthy and affordable recipes!,88
Academic Integrity Virtual Drop-In Schedule Winter 2025,https://successportal.conestogac.on.ca/students/docs/detail/278?filename=Academic-Integrity-Virtual-Drop-In_Winter-2025.pdf,View when the drop-in times are to connect with an Academic Integrity Advisor.,89
Learning Skills Appointments FAQ,https://successportal.conestogac.on.ca/students/docs/detail/277?filename=Learning-Skills-Appointments-FAQ.pdf,Answer all your questions about what to expect from a Learning Skills Appointment.,90
Online Learning,https://successportal.conestogac.on.ca/students/infoPages/detail/40/online-learning,"Learning online offers opportunities and challenges. Learn how to manage your time, get assignments done, and take online tests.",91
Test-Taking,https://successportal.conestogac.on.ca/students/infoPages/detail/39/test-taking,Learn strategies for taking different types of tests and managing test anxiety.,92
Working in Groups,https://successportal.conestogac.on.ca/students/infoPages/detail/38/working-in-groups,Make the most of group work with tools for getting started and completing projects,93
Studying,https://successportal.conestogac.on.ca/students/infoPages/detail/33/studying,Explore effective study techniques and tools.,94
Reading,https://successportal.conestogac.on.ca/students/infoPages/detail/32/reading,Find our how to read more effectively with active reading strategies.,95
Note-Taking,https://successportal.conestogac.on.ca/students/infoPages/detail/31/note-taking,Learn how note-taking supports your learning.,96
Getting Organized,https://successportal.conestogac.on.ca/students/infoPages/detail/30/getting-organized,"Get organized for the semester using tools for planning, goal setting, and breaking down assignments.",97
Accessing Healthcare Services in Canada,https://successportal.conestogac.on.ca/students/docs/detail/124?filename=Health-Services-%282%29-%281%29.pdf,This document provides information on the Canadian healthcare system and how to access both on-campus and off-campus health and wellness services. It also provides helpful links to information on the Conestoga Health Plans.,98
Arranging Your Transportation from Toronto Pearson International Airport,https://successportal.conestogac.on.ca/students/docs/detail/128?filename=Public-Transit-_2_.pdf,It is your responsibility to arrange transportation from the Toronto Pearson Airport to your new home city. This document provides helpful information on the various transportation services available to choose from.,99
Getting Your Government-Issued Identification Card,https://successportal.conestogac.on.ca/students/docs/detail/123?filename=Government-Issued-ID.pdf,"Personal identification (ID) is essential. While your international passport is an acceptable form of ID, it is highly recommended that you carry a provincial government-issued ID.",100
How to Set Up a Bank Account in Canada,https://successportal.conestogac.on.ca/students/docs/detail/122?filename=BANKING-IN-CANADA-%282%29.pdf,Information on the banking system in Canada and how to choose the right bank to suit your needs as an international student.,101
Mobile Phones and Phone Services,https://successportal.conestogac.on.ca/students/docs/detail/126?filename=PHONE-SERVICES-%281%29-%281%29.pdf,"There are a number of mobile phone plan providers in Ontario. This document provides general information on how to set up temporary access to phone services immediately upon arrival in Canada, the major mobile service providers and the types of service plans available to meet your needs and budget.",102
Things to Consider When Viewing Accommodations,https://successportal.conestogac.on.ca/students/docs/detail/130?filename=W2025-Things-to-Consider-in-Your-Housing-Search-Final.pdf,A useful checklist of things to consider when viewing and selecting suitable accommodations.,103
International Student Off-Campus Housing Guide,https://successportal.conestogac.on.ca/students/docs/detail/108?filename=W2025-Housing-Guide-Final.pdf,"Information about off-campus housing including the cost of housing, housing search, dealing with landlords, and tenant rights and responsibilities.",104
International Student FAQs,https://successportal.conestogac.on.ca/students/docs/detail/133?filename=W2025-International-Student-FAQs.pdf,Answers to frequently asked questions and links to resources for international students,105
In-Person Job Fair Success -Four P’s,https://successportal.conestogac.on.ca/students/docs/detail/276?filename=Talent-Hub-Co-op-tip-sheet-job-fair-4p%27s.pdf,"You have a Job Fair coming up… To truly make the most of your experience and capture the attention of recruiters, consider these comprehensive strategies",106
Your 30 Second Introduction Pitch,https://successportal.conestogac.on.ca/students/docs/detail/275?filename=30-sec-intro.pdf,"A 30-second introduction is a powerful tool for presenting yourself to potential employers, especially during co-op job searches and in-person job fairs. It's a concise summary of your background, education, and work experience designed to capture the interest of recruiters and hiring managers.",107
Personal Branding Check List,https://successportal.conestogac.on.ca/students/docs/detail/274?filename=Personal-Branding-checklist-W25-2.pdf,"Getting ready for a job fair or networking event? Check out our Personal Branding Checklist! It’s packed with essential tips to help you polish your resume and LinkedIn profile, ensuring you present yourself in the best light possible. Good luck!",108
Online Learning Checklist,https://successportal.conestogac.on.ca/students/docs/detail/273?filename=Online-Learning-Checklist.pdf,Use this online learning checklist,109
Strategies for Taking Online Tests,https://successportal.conestogac.on.ca/students/docs/detail/272?filename=Strategies-for-Taking-Online-Tests.pdf,Here are some strategies to utilize when taking online tests.,110
Preparing for Open-Book Tests,https://successportal.conestogac.on.ca/students/docs/detail/271?filename=Preparing-for-Open-Book-Tests.pdf,Learn preparation methods for open-book tests.,111
How to Answer Essay and Short Answer Questions,https://successportal.conestogac.on.ca/students/docs/detail/270?filename=How-to-Answer-Essay-and-Short-Answer-Questions.pdf,Learn strategies to answer essay and short answer questions,112
How to Answer Multiple Choice Questions,https://successportal.conestogac.on.ca/students/docs/detail/269?filename=How-to-Answer-Multiple-Choice-Questions.pdf,Tips to answering multiple choice questions,113
Preparing for Multiple Choice Tests,https://successportal.conestogac.on.ca/students/docs/detail/259?filename=Preparing-for-Multiple-Choice-Tests.pdf,Prepare for your upcoming multiple choice tests with these tips,114
Dealing with Test Anxiety,https://successportal.conestogac.on.ca/students/docs/detail/268?filename=Dealing-with-Test-Anxiety.pdf,Strategies to help you overcome test anxiety,115
Test-Taking Tips,https://successportal.conestogac.on.ca/students/docs/detail/267?filename=Test-Taking-Tips.pdf,Here are some tips to keep in mind when taking tests,116
Group Work - Project Outline,https://successportal.conestogac.on.ca/students/docs/detail/266?filename=Group-Work-Project-Outline-Fillable.pdf,Use this to outline your project and who is doing what in the group.,117
Group Work Roles,https://successportal.conestogac.on.ca/students/docs/detail/265?filename=Group-Work-Roles.pdf,Roles within a group,118
Group Member Strengths,https://successportal.conestogac.on.ca/students/docs/detail/264?filename=Group-Member-Strengths-Fillable.pdf,Identify each group member's strengths,119
Group Contract Template,https://successportal.conestogac.on.ca/students/docs/detail/263?filename=Group-Contract-Template.pdf,Use this template to create a group contract,120
Making Group Contracts,https://successportal.conestogac.on.ca/students/docs/detail/262?filename=Making-Group-Contracts.pdf,Learn the steps to creating a group contract,121
Group Work - Getting Started,https://successportal.conestogac.on.ca/students/docs/detail/261?filename=Group-Work-Getting-Started-Fillable.pdf,Getting started when working with a group,122
Group Work,https://successportal.conestogac.on.ca/students/docs/detail/260?filename=Group-Work.pdf,Explore group work,123
Flashcard Template,https://successportal.conestogac.on.ca/students/docs/detail/258?filename=Flashcards.pdf,Here's how to set up your flashcards,124
Study Plan Template,https://successportal.conestogac.on.ca/students/docs/detail/257?filename=Study-Plan-Template-Fillable.pdf,Use this template to create your study plan,125
Creating a Study Plan,https://successportal.conestogac.on.ca/students/docs/detail/256?filename=Creating-a-Study-Plan.pdf,Learn how to and why it's important to create a study plan,126
Study Smarter,https://successportal.conestogac.on.ca/students/docs/detail/255?filename=Study-Smarter.pdf,Employ these strategies to study in a smarter way to help you retain information.,127
Active Study Strategies,https://successportal.conestogac.on.ca/students/docs/detail/254?filename=Active-Study-Strategies.pdf,Learn about and how to use active studying,128
SQ3R Worksheet,https://successportal.conestogac.on.ca/students/docs/detail/253?filename=SQ3R-worksheet-Fillable.pdf,Put the SQ3R strategy into practice with this worksheet,129
SQ3R Reading Strategy,https://successportal.conestogac.on.ca/students/docs/detail/252?filename=SQ3R-Reading-Strategy.pdf,Learn about the SQ3R study method to help you actively study textbooks and readings.,130
Academic Reading,https://successportal.conestogac.on.ca/students/docs/detail/251?filename=Academic-Reading.pdf,Reading is an essential part of learning in post-secondary school. Reading for learning is a skill that takes time to develop and requires the learner to actively engage with the material.,131
The Cornell Method of Note-Taking,https://successportal.conestogac.on.ca/students/docs/detail/250?filename=The-Cornell-Method-of-Note-Taking.pdf,Learn how to use the Cornell method of notetaking,132
Note-taking Worksheet,https://successportal.conestogac.on.ca/students/docs/detail/249?filename=Note-taking-worksheet-Fillable.pdf,Use this worksheet to take notes efficiently,133
How to Organize Your Notes,https://successportal.conestogac.on.ca/students/docs/detail/248?filename=How-to-Organize-your-Notes.pdf,Learn how to organize your notes to be effective,134
Identifying Goals and Challenges,https://successportal.conestogac.on.ca/students/docs/detail/247?filename=Identifying-Goals-and-Challenges-Fillable.pdf,Outline any goals and challenges you may face to prepare how you will achieve or overcome them.,135
Assignment Planning Worksheet,https://successportal.conestogac.on.ca/students/docs/detail/246?filename=Assignment-Planning-Worksheet-Fillable.pdf,Use this worksheet to plan out all of your assignments,136
How to Break Down Assignments,https://successportal.conestogac.on.ca/students/docs/detail/245?filename=How-to-Break-Down-Assignments.pdf,A task breakdown strategy for assignments,137
Semester Plan Template,https://successportal.conestogac.on.ca/students/docs/detail/244?filename=Semester-Plan-Template_Fillable.pdf,Stay organized this semester using this template.,138
Using Instructional Plans to Stay Organized,https://successportal.conestogac.on.ca/students/docs/detail/243?filename=Using-Instructional-Plans-to-Stay-Organized.pdf,Follow these steps to stay organized.,139
Weekly Schedule,https://successportal.conestogac.on.ca/students/docs/detail/242?filename=Weekly-Schedule.pdf,Use this template to plan out your week,140
Weekly To-Do List,https://successportal.conestogac.on.ca/students/docs/detail/234?filename=Weekly-To-Do-List_Fillable.pdf,Use this weekly to do list to stay organized,141
