id,question,answer,source_pdf
17,How do I request a refund,"Refunds can now be requested through the Student Portal > Services > My Forms. Please be advised that, if you are withdrawing, you must complete a withdrawal form prior to completing your refund request. All refund requests can take up to ten (10) weeks to be processed, please do not sent multiple Refund Request Forms during this time. Please review our Refund and Withdrawal policy on the Conestoga College website for further information.",RO_FAQ_Winter_2024.pdf
18,Why can I not see my timetable,"In order to receive your timetable, please ensure that you have completed the following; (1) Pay any outstanding fees, (2) Upload your ONE Card photo in the Student Portal, (3) International Students must upload required documentation in the International Portal. Updated December 2023 Office of the Registrar – Student Records & Enrolment Contact Information Student Records – StudentRecords@conestogac.on.ca Important Dates: Continuing Education – ce@conestogac.on.ca • Last day to add/change Frequently Asked Questions course • Refund deadline",RO_FAQ_Winter_2024.pdf
19,I can’t see my Timetable,"https://www.conestogac.on.ca Be sure to complete all of the required steps: /current-students/returning- 1. Pay your fees through your Student Portal, Financial tab. students 2. Upload your ONE card student photo through your Student Portal, ONE CARD Digital forms available through Photo Upload tab. your Student Portal, Services 3. International students: Log in to the International Portal and upload the tab, My Forms button: required information and documents. 4. From the Calendar tab in your Portal, ensure you select the appropriate session • Consent for Release of and then the appropriate week. If there is a pop-up blocker in your internet Personal Information browser, you will have to select allow or enable for the timetable to open. • Co-op Program Transfer Application",RO_FAQ_Winter_2024.pdf
20,How do I add an elective,"• Course Change Request You can register for elective courses on the Student Portal, My Courses tab, Add Form Course/Choose Elective button. • Request for a Letter • Request for Refund",RO_FAQ_Winter_2024.pdf
21,How do I change my block or add/drop a course,"• Request for Transcript If you are unable to make to changes yourself through your Portal, My Courses tab, • Supplemental Request then you will need to complete a digital Course Change Request form located in your Form Student Portal, Services tab and select the My Forms button. • Withdrawal Form",RO_FAQ_Winter_2024.pdf
22,How do I pay for a course on Held Enrolment,"Go to your Student Portal, select the Financial tab and then click on the Payment for Held Courses sub-tab. It is very important to make your payment within 72 hours or the hold will expire.",RO_FAQ_Winter_2024.pdf
23,How do I withdraw from my program,"If you are withdrawing from your program, go to your Student Portal – Services tab and select the My Forms button. Then complete the digital Withdrawal Form. For withdrawal and refund information please visit: https://www.conestogac.on.ca/admissions/paying-your-fees/refunds-withdrawals Updated December 2023 How to View Your Timetable. Once your registration is complete, your timetable will be released. To view your timetable, go to the Student Portal > Calendar and select the Winter 2024 session and select the week that your classes start. Note: Please ensure that your “pop-up blocker” setting in your browner is turned off or set to allow pop-ups, as your timetable will show up as a pop-up. Be sure to monitor your timetable as you make any changes or continue your studies throughout the term by using the Select Week function. Winter 2024 Timetables Released December 11 Winter 2024 2024-01-07 – 2024-01-13 Updated December 2023",RO_FAQ_Winter_2024.pdf
24,How do I make a payment,Payments can be made with the following options: 1) Student Portal – Payment can be made directly in the Student Portal > Financial > Program Fees Payment. This accepts credit card and is our fastest payment method. 2) Web Banking – Make a payment directly through your Mobile Banking App by adding Conestoga College as a payee and using your Student ID as the account number. 3) Flywire or Convera (international funds) – Information can be found on our website > International > Apply to Conestoga > Fees and payment > Payment options,Student_Fees_FAQ_Winter_2024.pdf
25,Can I have an extension/ installment plan of my payment due,"We do not offer extensions or installment plans. Our Payment Schedule is available to eligible students in Level 2 or higher (not available to Level 1 or students with an offer letter) – this options allows students to pay 50% of their fees by the due date and the remaining 50% three days before the start of classes. Note, it costs $200 to opt into the Payment Schedule, and if it is added after the Payment Due Date, a $150 late fee will be applied. To opt into the Payment Schedule students must complete the following: 1) Confirm their invoice on the Student Portal 2) Pay 50% of their invoice due (not their full total due, but the current invoice due) 3) Once their fees are received, opt into the Payment Schedule on the Student Portal > Financial > My Invoices.",Student_Fees_FAQ_Winter_2024.pdf
26,Why has my payment not been posted to the Student Portal/ Can you confirm my payment,"Payments can take up to 3-5 business days to be processed and reflect on a student’s account. Once the payment has been posted, a receipt will be available on the Student Portal, Financial Tab. For Level 1 International Students, a Confirmation Letter can be found on the OCAS Portal.",Student_Fees_FAQ_Winter_2024.pdf
27,How much do I owe for Winter 2024,"If you are unable to see your timetable, you may owe fees for the Winter 2024 Term. Please see your Student Portal, under the Financial tab for your amounts due. To find your current balance, take your Total Due amount and subtract future billing. (Total Due – 2024 Spring = Remaining 2024 Winter)",Student_Fees_FAQ_Winter_2024.pdf
