Title,Link,Description
References,https://successportal.conestogac.on.ca/students/docs/detail/19?filename=Professional-References.pdf,Tips for developing references to support your job search.
Portfolio Development,https://successportal.conestogac.on.ca/students/docs/detail/77?filename=Portfolio.pdf,"A professional portfolio can be a powerful job search, networking and interview tool. This resources explores the different types of portfolios and the benefits of using a portfolio to support job search."
Functional Resume Worksheet,https://successportal.conestogac.on.ca/students/docs/detail/13?filename=Functional-Resume-Worksheet.pdf,A tool to help you develop your resume using a functional format.
Creating a CV - Curriculum Vitae,https://successportal.conestogac.on.ca/students/docs/detail/14?filename=Curriculum-Vitae.pdf,A guide for developing a Curriculum Vitae.
Components of a Resume,https://successportal.conestogac.on.ca/students/docs/detail/5?filename=Components-of-a-Resume.pdf,"It is important to determine which style of resume will best highlight your skills, qualifications and experience to the employer. This resource will help you understand the components of a resume and which style of resume is right for you."
Chronological Resume Worksheet,https://successportal.conestogac.on.ca/students/docs/detail/12?filename=Chronological-Resume-Worksheet.pdf,A tool to help you develop your resume using a chronological format.
How can I get help with my resume?,https://successportal.conestogac.on.ca/students/faqs/detail/33/how-can-i-get-help-with-my-res,"Current students are encouraged to use the VMock platform to create a resume or receive feedback on a resume. Access VMock here and use your Conestoga email and password to gain access Career Services also offers workshops, resume resources, and other resume support. Please visit the Career Services page for more information."
"Engineering & Technology Resume, Chronological Style",https://successportal.conestogac.on.ca/students/docs/detail/305?filename=Chronological-Sample-Resume.pdf,A strong resume is key to landing interviews. This chronological style resume for a student or new grad seeking employment in engineering or technology is an example of how to present skills and experience with confidence and clarity.
"Computer Science & I/T Resume, Competency-Based (Functional) Style",https://successportal.conestogac.on.ca/students/docs/detail/307?filename=IT-Competency-Resume.pdf,A strong resume is key to landing interviews. This competency-based (functional) resume for a student or new grad seeking roles in computer science or I/T is an example of how to present skills and experience with confidence and clarity.
"Community Services Resume, Chronological Style",https://successportal.conestogac.on.ca/students/docs/detail/304?filename=ECE-Resume-Sample.pdf,A strong resume is key to landing interviews. This chronological style resume for a student or new graduate seeking employment within community services is an example of how to present skills and experience with confidence and clarity.
"Health & Life Sciences Resume, Chronological Style, Sample #2",https://successportal.conestogac.on.ca/students/docs/detail/303?filename=Nursing-Resume.pdf,A strong resume is key to landing interviews. This chronological style resume for a student or new graduate seeking employment in the health and life sciences field is an example of how to present skills and experience with confidence and clarity.
"Business Resume, Skills Based (Functional) Style",https://successportal.conestogac.on.ca/students/docs/detail/302?filename=Office-Admin-Functional-Resume.pdf,A strong resume is key to landing interviews. This skills-based (functional) resume for a student or new grad seeking employment in the business sector is an example of how to present skills and experience with confidence and clarity.
"Business Resume, Chronological Style",https://successportal.conestogac.on.ca/students/docs/detail/301?filename=Post-Grad-Chronological.pdf,A strong resume is key to landing interviews. This chronological style resume for a student or new graduate seeking employment in the field of business is an example of how to present skills and experience with confidence and clarity.
"Trades & Apprenticeship Resume, Chronological Style, Sample #2",https://successportal.conestogac.on.ca/students/docs/detail/306?filename=Electrical-Technician-Resume-Sample.pdf,A strong resume is key to landing interviews. This chronological style resume for a student or new graduate seeking employment in the trades is an example of how to present skills and experience with confidence and clarity.
"Hospitality & Culinary Arts Resume, Chronological Style, Part Time",https://successportal.conestogac.on.ca/students/docs/detail/300?filename=Part-Time-Resume.pdf,A strong resume is key to landing interviews. This chronological style resume for a student or new grad seeking employment in the hospitality or culinary field is an example of how to present skills and experience with confidence and clarity.
"Trades & Apprenticeship Resume, Chronological Style, Sample #1",https://successportal.conestogac.on.ca/students/docs/detail/299?filename=Automotive-Service-Technician-Resume.pdf,A strong resume is key to landing interviews. This chronological style sample resume for a student or new graduate seeking employment in the trades is an example of how to present skills and experience with confidence and clarity.
Academic Integrity FAQs for Students,https://successportal.conestogac.on.ca/students/docs/detail/286?filename=Academic-Integrity-FAQs-for-Students.pdf,Get answers to your questions related to Academic Integrity
Assistive Software,https://successportal.conestogac.on.ca/students/infoPages/detail/20/assistive-software,We have the following software available at all Conestoga campuses within the designated assistive technology space(s).
Tracking Your Job Search and Networking,https://successportal.conestogac.on.ca/students/docs/detail/298?filename=Job-Search-and-Networking-Tracking-.pdf,"Staying organized, focused and motivated as you prepare for and conduct your job search is an essential part of success. Setting goals, tracking your applications and networking activities will help!"
Grad Launch Resource Guide,https://successportal.conestogac.on.ca/students/docs/detail/297?filename=SE-_-Alumni-Digital-Resource-Guide.pdf,"Congratulations, soon-to-be graduate! As you prepare for life after graduation, this guide is designed to help you wrap up your time as a student and make the most of the resources available to you as a new graduate."
Understanding Apprenticeships,https://successportal.conestogac.on.ca/students/docs/detail/296?filename=Understanding-Apprenticeships.pdf,"An apprenticeship can lead to a very rewarding career. Learn more about essential steps to help you explore trades, assess your fit, and understand the certification process so you can make informed decisions and successfully build your career in the trades!"
Apprenticeship Pathway,https://successportal.conestogac.on.ca/students/docs/detail/295?filename=Apprenticeship-Pathway.pdf,An apprenticeship involves several key steps. Review this tip sheet to understand the process an apprentice will typically go through that leads to certification as a Journey Person.
Fraudulent Jobs and Scam Awareness,https://successportal.conestogac.on.ca/students/docs/detail/38?filename=Fraudulent-Employers-and-Common-Job-Search-Scams.pdf,"When searching for a job, it is important to know the signs of a fraudulent job posting or employment scam. Learn about safe job search practices, how you can protect yourself from employment fraud, and where to go more for information."
Working-on-Campus,https://successportal.conestogac.on.ca/students/docs/detail/175?filename=Working-On-Campus.pdf,Conestoga College recruits numerous students for on-campus/work study opportunities each term. Various departments from Conestoga College will post their available student positions on the MyCareer job board.
Job Search Websites,https://successportal.conestogac.on.ca/students/docs/detail/40?filename=Helpful-Job-Search-Websites.pdf,Helpful job search websites for students and new graduates seeking employment.
Cold Calling,https://successportal.conestogac.on.ca/students/docs/detail/32?filename=Cold-Calling.pdf,Cold calling is contacting an employer that you have not been in touch with before. It is one of the most effective ways of tapping into the hidden job market (jobs that are not advertised). Learn how to use this tool to support your job search.
Working Part-Time When You Are A Student,https://successportal.conestogac.on.ca/students/docs/detail/39?filename=Working-Part-Time-as-a-Student.pdf,"When you are looking for part-time work it is important to find something that will allow you to prioritize your studies. This resource discusses typical part-time student jobs, jobs on campus and common methods for searching for part-time work."
Disclosure and Accommodations in the Workplace,https://successportal.conestogac.on.ca/students/docs/detail/45?filename=Disclosure-and-Accommodations-in-the-Workplace.pdf,"This resource examines the timing, advantages, disadvantages and things to consider when considering disclosure and accommodations requests during the recruitment process."
"Equity, Diversity and Inclusion (EDI) in the Workplace Resources",https://successportal.conestogac.on.ca/students/docs/detail/294?filename=Equity%2C-Diversity-and-Inclusion-in-the-Workplace-Resources.pdf,"This tip sheet offers key resources for researching employers, finding EDI-focused job postings, and understanding related legislation. Whether you're starting out or advancing your career, these tools will help you navigate EDI with insight and confidence."
Writing Services Virtual Drop-in Schedule Spring 2025,https://successportal.conestogac.on.ca/students/docs/detail/293?filename=Virtual-Writing-Services-Drop-in.pdf,Virtual drop-in schedule for Writing Services
SSA Drop-In,https://successportal.conestogac.on.ca/students/infoPages/detail/49/ssa-drop-in,Drop-in options
2025 Spring Semester Planner,https://successportal.conestogac.on.ca/students/docs/detail/289?filename=2025-Spring_Planner_DIGITAL.pdf,Use this planner to stay organized this semester.
Writing Services Drop-in Schedule Spring 2025,https://successportal.conestogac.on.ca/students/docs/detail/292?filename=Writing-Services-Drop-in.pdf,Writing Services In-Person Drop-In Hours
Repeating Courses,https://successportal.conestogac.on.ca/students/infoPages/detail/52/repeating-courses,definition of what it means for repeating courses
Learning Plan and Learning Contract,https://successportal.conestogac.on.ca/students/infoPages/detail/51/learning-plan-and-learning-con,definition of what a learning plan and learning contract are
Cover Letters,https://successportal.conestogac.on.ca/students/docs/detail/17?filename=Cover-Letters.pdf,"This resource explains the purpose and components of a cover letter, and provides a sample."
Medical Clinic Uninsured Services,https://successportal.conestogac.on.ca/students/infoPages/detail/50/medical-clinic-uninsured-servi,Uninsured services offered by the Conestoga College Medical Clinic.
The Job Offer,https://successportal.conestogac.on.ca/students/docs/detail/44?filename=The-Job-Offer.pdf,Negotiating a job offer can be stressful and intimidating. This resource provides some helpful tips for negotiating an offer of employment.
Social Media Checklist,https://successportal.conestogac.on.ca/students/docs/detail/291?filename=Social-Media-Checklist-.pdf,"As you prepare to enter the professional world, it's crucial to ensure your social media presence reflects your career goals. This checklist will guide you in transforming your online profiles into powerful tools to make a positive impression on potential employers and standing out in your field."
Job Searching with Social Media,https://successportal.conestogac.on.ca/students/docs/detail/290?filename=Job-Searching-with-Social-Media-.pdf,"In today's digital age, social media is a powerful tool for job searching. Beyond connecting with friends, platforms like LinkedIn help you network with potential employers. This tip sheet will guide you on leveraging social media to enhance your job search and present your best professional self."
Managing Your Time,https://successportal.conestogac.on.ca/students/infoPages/detail/29/managing-your-time,"Learn how to prioritize, approach procrastination, and plan your time."
Managing Stress,https://successportal.conestogac.on.ca/students/docs/detail/288?filename=Stress-Inforgraphic_FINAL_DIGITAL.pdf,"Learn how the stress cycle can impact you, and what you can do to overcome it."
Support for Discontinued Students,https://successportal.conestogac.on.ca/students/infoPages/detail/48/support-for-discontinued-stude,in-person and virtual drop-in support for discontinued students
Using Elevator Pitch in VMock,https://successportal.conestogac.on.ca/students/videos/detail/38/using-elevator-pitch-in-vmock,Learn how to use VMock to practice your interview skills or 30 second personal pitch.
Understanding VMock feedback,https://successportal.conestogac.on.ca/students/videos/detail/37/understanding-vmock-feedback,Learn how to upload a resume and understand the feedback that VMock gives you.
Volunteering: The Benefits and How to Find Opportunities,https://successportal.conestogac.on.ca/students/docs/detail/287?filename=Volunteering-Benefits-and-Opportunities.pdf,"Volunteering can significantly boost your future job prospects by helping you gain valuable experience, develop skills, build your resume, and establish a network of references. Curious to learn more? Check out this tip sheet to discover how volunteering can be a game-changer for your future!"
What is a Social Insurance Number and Why You Need One,https://successportal.conestogac.on.ca/students/docs/detail/127?filename=Social-Insurance-Number.pdf,"This document provides information on Social Insurance Numbers (SIN), how to apply for your SIN, why you need a SIN to work in Canada, and how to protect it from being used by others."
Harm Reduction Approach to Substance Use,https://successportal.conestogac.on.ca/students/docs/detail/283?filename=Harm-Reduction-Infographic_DIGITAL.pdf,"Learn more information on this approach as well as resources, harm reduction strategies, and community contacts"
Following Up After a Job Fair or Networking Event,https://successportal.conestogac.on.ca/students/docs/detail/285?filename=Job-Fair-and-Networking-Follow-Up.pdf,After you attend a job fair or a networking event it is important to follow up with key contacts you've made! This tip sheet will help you understand how to do this in a timely and professionally manner.
Co-Curricular Record,https://successportal.conestogac.on.ca/students/infoPages/detail/16/co-curricular-record,"The Co-Curricular Record (CCR) is an official document, complementary to an academic transcript, which recognizes and records your learning through approved co-curricular experiences at Conestoga College."
Student Success Resources and Services,https://successportal.conestogac.on.ca/students/docs/detail/284?filename=Conestoga-Student-Services_Students.pdf,An overview of the services Student Success offers.
Disability-Related Accommodation Process,https://successportal.conestogac.on.ca/students/faqs/detail/93/disability-related-accommodati,"The academic accommodation process is a collaborative effort between students and Accessible Learning. The goal is to reach agreement on appropriate accommodations, ensuring students have equitable access to their education. Faculty may be involved in this process as experts in academic requirements.While we do not share students’ health..."
Conestoga Laptop and Technology Orientation,https://successportal.conestogac.on.ca/students/links/detail/91,"Whether starting with your first laptop or needing a refresher, you’ll find all the information in this tutorial. You’ll understand how to use your laptop and navigate Conestoga’s technologies when you're done."
Tech Help,https://successportal.conestogac.on.ca/students/links/detail/90,"Looking for answers to tech how-to questions? • Drop in a Zoom meeting with a TechBar representative • Hours: Monday to Friday, 10 am to 3 pm • Note: Drop-in service may sometimes be unavailable due to unplanned absences or technical issues."
TechFAQ,https://successportal.conestogac.on.ca/students/links/detail/89,"Search for answers to frequently asked questions, e.g., how the TechBar staff can help you, how can I book a meeting room, can I forward my Conestoga email to my personal email, etc."
Digital Skills Toolkit,https://successportal.conestogac.on.ca/students/links/detail/88,"Learn to use Zoom, Office 365, video production, and other computer skills"
Before Your Assessment,https://successportal.conestogac.on.ca/students/infoPages/detail/42/before-your-assessment,Tips of what to do before writing in the Test Centre
After Your Assessment,https://successportal.conestogac.on.ca/students/infoPages/detail/44/after-your-assessment,What to expect after an assessment in the Test Centre
During Your Assessment,https://successportal.conestogac.on.ca/students/infoPages/detail/43/during-your-assessment,Considerations for during your assessment in the Test Centre
Student Rights & Responsibilities FAQs,https://successportal.conestogac.on.ca/students/faqs/detail/92/student-rights-and-responsibil,"Who do I contact if I have an emergency or safety concern?If you feel unsafe or need immediate attention on-campus, contact Safety and Security.If you are off campus, contact emergency services by calling 911.If you are in crisis and need urgent mental health support, the following resources can help: Suicide Crisis Helpline (all of Canada):..."
Follow Up After An Interview,https://successportal.conestogac.on.ca/students/docs/detail/282?filename=Interview-Thank-You-Note.pdf,Following up after an interview with a thank you message to the interviewer(s) is super way to stand out; but is also an often forgotten step in the interview process. This tip sheet will help you understand the value of following up and how to do that professionally.
Discrimination & Harassment Prevention Policy,https://successportal.conestogac.on.ca/students/docs/detail/281?filename=discrimination-and-harassment-prevention-policy-FINAL-Jan-2025.pdf,"It is the policy of Conestoga College that all members of the College community have a right to a work and study environment that is safe and respectful, free from discrimination, hate and harassment."
Student Housing Policy,https://successportal.conestogac.on.ca/students/docs/detail/280?filename=Student-Housing-Policy-FINAL-January-2025.pdf,"The Conestoga College Institute of Technology and Advanced Learning (Conestoga) is committed to offering housing options and related services, supports, and resources that enhance the academic success and well-being of all students."
Student Mental Health Policy,https://successportal.conestogac.on.ca/students/docs/detail/279?filename=Student-Mental-Health-Policy-FINAL-January-2025.pdf,"Conestoga College Institute of Technology and Advanced Learning (Conestoga) is committed to cultivating a supportive teaching, learning, living and working environment that addresses the health and wellness needs of our students."
The Great Conestoga Cookbook,https://successportal.conestogac.on.ca/students/docs/detail/225?filename=Recipe-Book-DIGITAL_Jan-2025.pdf,Get cooking with these healthy and affordable recipes!
Academic Integrity Virtual Drop-In Schedule Winter 2025,https://successportal.conestogac.on.ca/students/docs/detail/278?filename=Academic-Integrity-Virtual-Drop-In_Winter-2025.pdf,View when the drop-in times are to connect with an Academic Integrity Advisor.
Learning Skills Appointments FAQ,https://successportal.conestogac.on.ca/students/docs/detail/277?filename=Learning-Skills-Appointments-FAQ.pdf,Answer all your questions about what to expect from a Learning Skills Appointment.
Online Learning,https://successportal.conestogac.on.ca/students/infoPages/detail/40/online-learning,"Learning online offers opportunities and challenges. Learn how to manage your time, get assignments done, and take online tests."
Test-Taking,https://successportal.conestogac.on.ca/students/infoPages/detail/39/test-taking,Learn strategies for taking different types of tests and managing test anxiety.
Working in Groups,https://successportal.conestogac.on.ca/students/infoPages/detail/38/working-in-groups,Make the most of group work with tools for getting started and completing projects
Studying,https://successportal.conestogac.on.ca/students/infoPages/detail/33/studying,Explore effective study techniques and tools.
Reading,https://successportal.conestogac.on.ca/students/infoPages/detail/32/reading,Find our how to read more effectively with active reading strategies.
Note-Taking,https://successportal.conestogac.on.ca/students/infoPages/detail/31/note-taking,Learn how note-taking supports your learning.
Getting Organized,https://successportal.conestogac.on.ca/students/infoPages/detail/30/getting-organized,"Get organized for the semester using tools for planning, goal setting, and breaking down assignments."
Accessing Healthcare Services in Canada,https://successportal.conestogac.on.ca/students/docs/detail/124?filename=Health-Services-%282%29-%281%29.pdf,This document provides information on the Canadian healthcare system and how to access both on-campus and off-campus health and wellness services. It also provides helpful links to information on the Conestoga Health Plans.
Arranging Your Transportation from Toronto Pearson International Airport,https://successportal.conestogac.on.ca/students/docs/detail/128?filename=Public-Transit-_2_.pdf,It is your responsibility to arrange transportation from the Toronto Pearson Airport to your new home city. This document provides helpful information on the various transportation services available to choose from.
Getting Your Government-Issued Identification Card,https://successportal.conestogac.on.ca/students/docs/detail/123?filename=Government-Issued-ID.pdf,"Personal identification (ID) is essential. While your international passport is an acceptable form of ID, it is highly recommended that you carry a provincial government-issued ID."
How to Set Up a Bank Account in Canada,https://successportal.conestogac.on.ca/students/docs/detail/122?filename=BANKING-IN-CANADA-%282%29.pdf,Information on the banking system in Canada and how to choose the right bank to suit your needs as an international student.
Mobile Phones and Phone Services,https://successportal.conestogac.on.ca/students/docs/detail/126?filename=PHONE-SERVICES-%281%29-%281%29.pdf,"There are a number of mobile phone plan providers in Ontario. This document provides general information on how to set up temporary access to phone services immediately upon arrival in Canada, the major mobile service providers and the types of service plans available to meet your needs and budget."
Things to Consider When Viewing Accommodations,https://successportal.conestogac.on.ca/students/docs/detail/130?filename=W2025-Things-to-Consider-in-Your-Housing-Search-Final.pdf,A useful checklist of things to consider when viewing and selecting suitable accommodations.
International Student Off-Campus Housing Guide,https://successportal.conestogac.on.ca/students/docs/detail/108?filename=W2025-Housing-Guide-Final.pdf,"Information about off-campus housing including the cost of housing, housing search, dealing with landlords, and tenant rights and responsibilities."
International Student FAQs,https://successportal.conestogac.on.ca/students/docs/detail/133?filename=W2025-International-Student-FAQs.pdf,Answers to frequently asked questions and links to resources for international students
In-Person Job Fair Success -Four P’s,https://successportal.conestogac.on.ca/students/docs/detail/276?filename=Talent-Hub-Co-op-tip-sheet-job-fair-4p%27s.pdf,"You have a Job Fair coming up… To truly make the most of your experience and capture the attention of recruiters, consider these comprehensive strategies"
Your 30 Second Introduction Pitch,https://successportal.conestogac.on.ca/students/docs/detail/275?filename=30-sec-intro.pdf,"A 30-second introduction is a powerful tool for presenting yourself to potential employers, especially during co-op job searches and in-person job fairs. It's a concise summary of your background, education, and work experience designed to capture the interest of recruiters and hiring managers."
Personal Branding Check List,https://successportal.conestogac.on.ca/students/docs/detail/274?filename=Personal-Branding-checklist-W25-2.pdf,"Getting ready for a job fair or networking event? Check out our Personal Branding Checklist! It’s packed with essential tips to help you polish your resume and LinkedIn profile, ensuring you present yourself in the best light possible. Good luck!"
Online Learning Checklist,https://successportal.conestogac.on.ca/students/docs/detail/273?filename=Online-Learning-Checklist.pdf,Use this online learning checklist
Strategies for Taking Online Tests,https://successportal.conestogac.on.ca/students/docs/detail/272?filename=Strategies-for-Taking-Online-Tests.pdf,Here are some strategies to utilize when taking online tests.
Preparing for Open-Book Tests,https://successportal.conestogac.on.ca/students/docs/detail/271?filename=Preparing-for-Open-Book-Tests.pdf,Learn preparation methods for open-book tests.
How to Answer Essay and Short Answer Questions,https://successportal.conestogac.on.ca/students/docs/detail/270?filename=How-to-Answer-Essay-and-Short-Answer-Questions.pdf,Learn strategies to answer essay and short answer questions
How to Answer Multiple Choice Questions,https://successportal.conestogac.on.ca/students/docs/detail/269?filename=How-to-Answer-Multiple-Choice-Questions.pdf,Tips to answering multiple choice questions
Preparing for Multiple Choice Tests,https://successportal.conestogac.on.ca/students/docs/detail/259?filename=Preparing-for-Multiple-Choice-Tests.pdf,Prepare for your upcoming multiple choice tests with these tips
Dealing with Test Anxiety,https://successportal.conestogac.on.ca/students/docs/detail/268?filename=Dealing-with-Test-Anxiety.pdf,Strategies to help you overcome test anxiety
Test-Taking Tips,https://successportal.conestogac.on.ca/students/docs/detail/267?filename=Test-Taking-Tips.pdf,Here are some tips to keep in mind when taking tests
Group Work - Project Outline,https://successportal.conestogac.on.ca/students/docs/detail/266?filename=Group-Work-Project-Outline-Fillable.pdf,Use this to outline your project and who is doing what in the group.
Group Work Roles,https://successportal.conestogac.on.ca/students/docs/detail/265?filename=Group-Work-Roles.pdf,Roles within a group
Group Member Strengths,https://successportal.conestogac.on.ca/students/docs/detail/264?filename=Group-Member-Strengths-Fillable.pdf,Identify each group member's strengths
Group Contract Template,https://successportal.conestogac.on.ca/students/docs/detail/263?filename=Group-Contract-Template.pdf,Use this template to create a group contract
Making Group Contracts,https://successportal.conestogac.on.ca/students/docs/detail/262?filename=Making-Group-Contracts.pdf,Learn the steps to creating a group contract
Group Work - Getting Started,https://successportal.conestogac.on.ca/students/docs/detail/261?filename=Group-Work-Getting-Started-Fillable.pdf,Getting started when working with a group
Group Work,https://successportal.conestogac.on.ca/students/docs/detail/260?filename=Group-Work.pdf,Explore group work
Flashcard Template,https://successportal.conestogac.on.ca/students/docs/detail/258?filename=Flashcards.pdf,Here's how to set up your flashcards
Study Plan Template,https://successportal.conestogac.on.ca/students/docs/detail/257?filename=Study-Plan-Template-Fillable.pdf,Use this template to create your study plan
Creating a Study Plan,https://successportal.conestogac.on.ca/students/docs/detail/256?filename=Creating-a-Study-Plan.pdf,Learn how to and why it's important to create a study plan
Study Smarter,https://successportal.conestogac.on.ca/students/docs/detail/255?filename=Study-Smarter.pdf,Employ these strategies to study in a smarter way to help you retain information.
Active Study Strategies,https://successportal.conestogac.on.ca/students/docs/detail/254?filename=Active-Study-Strategies.pdf,Learn about and how to use active studying
SQ3R Worksheet,https://successportal.conestogac.on.ca/students/docs/detail/253?filename=SQ3R-worksheet-Fillable.pdf,Put the SQ3R strategy into practice with this worksheet
SQ3R Reading Strategy,https://successportal.conestogac.on.ca/students/docs/detail/252?filename=SQ3R-Reading-Strategy.pdf,Learn about the SQ3R study method to help you actively study textbooks and readings.
Academic Reading,https://successportal.conestogac.on.ca/students/docs/detail/251?filename=Academic-Reading.pdf,Reading is an essential part of learning in post-secondary school. Reading for learning is a skill that takes time to develop and requires the learner to actively engage with the material.
The Cornell Method of Note-Taking,https://successportal.conestogac.on.ca/students/docs/detail/250?filename=The-Cornell-Method-of-Note-Taking.pdf,Learn how to use the Cornell method of notetaking
Note-taking Worksheet,https://successportal.conestogac.on.ca/students/docs/detail/249?filename=Note-taking-worksheet-Fillable.pdf,Use this worksheet to take notes efficiently
How to Organize Your Notes,https://successportal.conestogac.on.ca/students/docs/detail/248?filename=How-to-Organize-your-Notes.pdf,Learn how to organize your notes to be effective
Identifying Goals and Challenges,https://successportal.conestogac.on.ca/students/docs/detail/247?filename=Identifying-Goals-and-Challenges-Fillable.pdf,Outline any goals and challenges you may face to prepare how you will achieve or overcome them.
Assignment Planning Worksheet,https://successportal.conestogac.on.ca/students/docs/detail/246?filename=Assignment-Planning-Worksheet-Fillable.pdf,Use this worksheet to plan out all of your assignments
How to Break Down Assignments,https://successportal.conestogac.on.ca/students/docs/detail/245?filename=How-to-Break-Down-Assignments.pdf,A task breakdown strategy for assignments
Semester Plan Template,https://successportal.conestogac.on.ca/students/docs/detail/244?filename=Semester-Plan-Template_Fillable.pdf,Stay organized this semester using this template.
Using Instructional Plans to Stay Organized,https://successportal.conestogac.on.ca/students/docs/detail/243?filename=Using-Instructional-Plans-to-Stay-Organized.pdf,Follow these steps to stay organized.
Weekly Schedule,https://successportal.conestogac.on.ca/students/docs/detail/242?filename=Weekly-Schedule.pdf,Use this template to plan out your week
Weekly To-Do List,https://successportal.conestogac.on.ca/students/docs/detail/234?filename=Weekly-To-Do-List_Fillable.pdf,Use this weekly to do list to stay organized
Prioritized Task List,https://successportal.conestogac.on.ca/students/docs/detail/241?filename=Prioritized-Task-List_Fillable.pdf,Use this task list to prioritize tasks you need to accomplish
Understanding Outcomes and Assignments,https://successportal.conestogac.on.ca/students/docs/detail/240?filename=Understanding-Outcomes-and-Assignment-Tasks.pdf,Understand commonly used terms around outcomes and assignments.
Guide to Note-Taking,https://successportal.conestogac.on.ca/students/docs/detail/239?filename=A-Guide-to-Note-Taking.pdf,Check out this guide for more information on note-taking
How to Make a Semester Plan,https://successportal.conestogac.on.ca/students/docs/detail/238?filename=How-to-make-a-Semester-Plan.pdf,Learn how to make a semester plan
